timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.151514,-0.592779,-0.705315,0,0,0,1,1
-360,2.145828,-0.57327,-0.688737,0,0,0,1,1
-320,2.143535,-0.551236,-0.675231,0,0,0,1,1
-280,2.143063,-0.530283,-0.659613,0,0,0,1,1
-240,2.136427,-0.511332,-0.643528,0,0,0,1,1
-200,2.130639,-0.493868,-0.625811,0,0,0,1,1
-160,2.137815,-0.478156,-0.610368,0,0,0,1,1
-120,2.161844,-0.470842,-0.599455,0,0,0,1,1
-80,2.187849,-0.467723,-0.585916,0,0,0,1,1
-40,2.217582,-0.471632,-0.575455,0,0,0,1,1
0,2.248733,-0.477725,-0.56347,0,0,0,1,1
